meal_id,name,description,status,created_at,updated_at,source,video_url,recipe_id,course,cuisine,servings,calories,prep time,cook time,total time,author,keyword,soaking time,marinating time,cooling time,resting time,wait time,main_ingredient,quantity,weight,alternative_ingredient,measurement,serial,steps,id
a6213618-a4b0-4b70-a132-a0cf4763bd02,Plantain Pancakes with Spicy Maple Syrup and Peanuts,"These delicious plantain pancakes are topped off with a spicy mix of chili, maple syrup and crushed peanuts to produce a delicious treat!",PUBLISHED,2024-09-25 00:03:22,2024-09-25 00:03:22,https://www.yummymedley.com/plantain-pancakes-with-spicy-maple-syrup-and-peanuts/,Not Available,2c2703b4-ed39-468d-a09b-4dda480e3bc7,Breakfast,West African,6.0,455.0,15,20,35,,,0,0,0,0,0,plantains,3,,,,1,Blend the plantains until smooth.3 extra ripe plantains,8748b0ac-2b44-4013-a4b7-02f3193f275a
a6213618-a4b0-4b70-a132-a0cf4763bd02,Plantain Pancakes with Spicy Maple Syrup and Peanuts,"These delicious plantain pancakes are topped off with a spicy mix of chili, maple syrup and crushed peanuts to produce a delicious treat!",PUBLISHED,2024-09-25 00:03:22,2024-09-25 00:03:22,https://www.yummymedley.com/plantain-pancakes-with-spicy-maple-syrup-and-peanuts/,Not Available,2c2703b4-ed39-468d-a09b-4dda480e3bc7,Breakfast,West African,6.0,455.0,15,20,35,,,0,0,0,0,0,plantains,3,,,,2,"Into the blended plantains, mix in the milk, lime juice and vanilla, then set aside.2.5 cups of milk, Juice from ½ a lime, 1 tsp vanilla bean paste or vanilla extract",eae45b36-5d2c-4060-81e8-bfddd900ae68
a6213618-a4b0-4b70-a132-a0cf4763bd02,Plantain Pancakes with Spicy Maple Syrup and Peanuts,"These delicious plantain pancakes are topped off with a spicy mix of chili, maple syrup and crushed peanuts to produce a delicious treat!",PUBLISHED,2024-09-25 00:03:22,2024-09-25 00:03:22,https://www.yummymedley.com/plantain-pancakes-with-spicy-maple-syrup-and-peanuts/,Not Available,2c2703b4-ed39-468d-a09b-4dda480e3bc7,Breakfast,West African,6.0,455.0,15,20,35,,,0,0,0,0,0,plantains,3,,,,3,"In a separate bowl, combine the dry ingredients, the flour, cornmeal, baking powder, baking soda, and salt.2.5 cups all purpose flour, ½ cup corn meal, 2 tsp baking powder, ½ tsp baking soda, 1 Pinch of salt",2d9204cb-ae5c-49d5-85db-3b34f2de587c
a6213618-a4b0-4b70-a132-a0cf4763bd02,Plantain Pancakes with Spicy Maple Syrup and Peanuts,"These delicious plantain pancakes are topped off with a spicy mix of chili, maple syrup and crushed peanuts to produce a delicious treat!",PUBLISHED,2024-09-25 00:03:22,2024-09-25 00:03:22,https://www.yummymedley.com/plantain-pancakes-with-spicy-maple-syrup-and-peanuts/,Not Available,2c2703b4-ed39-468d-a09b-4dda480e3bc7,Breakfast,West African,6.0,455.0,15,20,35,,,0,0,0,0,0,plantains,3,,,,4,Combine the wet and dry ingredients until it is just mixed. Try not to overmix the batter.,ca526fb9-c034-43d2-b11c-61eafbbb559b
a6213618-a4b0-4b70-a132-a0cf4763bd02,Plantain Pancakes with Spicy Maple Syrup and Peanuts,"These delicious plantain pancakes are topped off with a spicy mix of chili, maple syrup and crushed peanuts to produce a delicious treat!",PUBLISHED,2024-09-25 00:03:22,2024-09-25 00:03:22,https://www.yummymedley.com/plantain-pancakes-with-spicy-maple-syrup-and-peanuts/,Not Available,2c2703b4-ed39-468d-a09b-4dda480e3bc7,Breakfast,West African,6.0,455.0,15,20,35,,,0,0,0,0,0,plantains,3,,,,5,"On a hot griddle or frypan, add a small nug of butter to the pan, then cook the pancakes on medium heat for 3-4 minutes on each side.Butter for frying",00c66094-19d0-48a0-8dab-708c7fc22d2f
a6213618-a4b0-4b70-a132-a0cf4763bd02,Plantain Pancakes with Spicy Maple Syrup and Peanuts,"These delicious plantain pancakes are topped off with a spicy mix of chili, maple syrup and crushed peanuts to produce a delicious treat!",PUBLISHED,2024-09-25 00:03:22,2024-09-25 00:03:22,https://www.yummymedley.com/plantain-pancakes-with-spicy-maple-syrup-and-peanuts/,Not Available,2c2703b4-ed39-468d-a09b-4dda480e3bc7,Breakfast,West African,6.0,455.0,15,20,35,,,0,0,0,0,0,plantains,3,,,,6,"Once the pancakes are golden brown on both sides, they are ready to serve. I topped my pancakes with a mixture of maple syrup and chili oil and finished with crushed peanuts.",2a7d4f57-f439-4ebc-8fce-e1228049529b
a6213618-a4b0-4b70-a132-a0cf4763bd02,Plantain Pancakes with Spicy Maple Syrup and Peanuts,"These delicious plantain pancakes are topped off with a spicy mix of chili, maple syrup and crushed peanuts to produce a delicious treat!",PUBLISHED,2024-09-25 00:03:22,2024-09-25 00:03:22,https://www.yummymedley.com/plantain-pancakes-with-spicy-maple-syrup-and-peanuts/,Not Available,2c2703b4-ed39-468d-a09b-4dda480e3bc7,Breakfast,West African,6.0,455.0,15,20,35,,,0,0,0,0,0,milk,2.5,,plant-based milk,cups,1,Blend the plantains until smooth.3 extra ripe plantains,8748b0ac-2b44-4013-a4b7-02f3193f275a
a6213618-a4b0-4b70-a132-a0cf4763bd02,Plantain Pancakes with Spicy Maple Syrup and Peanuts,"These delicious plantain pancakes are topped off with a spicy mix of chili, maple syrup and crushed peanuts to produce a delicious treat!",PUBLISHED,2024-09-25 00:03:22,2024-09-25 00:03:22,https://www.yummymedley.com/plantain-pancakes-with-spicy-maple-syrup-and-peanuts/,Not Available,2c2703b4-ed39-468d-a09b-4dda480e3bc7,Breakfast,West African,6.0,455.0,15,20,35,,,0,0,0,0,0,milk,2.5,,plant-based milk,cups,2,"Into the blended plantains, mix in the milk, lime juice and vanilla, then set aside.2.5 cups of milk, Juice from ½ a lime, 1 tsp vanilla bean paste or vanilla extract",eae45b36-5d2c-4060-81e8-bfddd900ae68
a6213618-a4b0-4b70-a132-a0cf4763bd02,Plantain Pancakes with Spicy Maple Syrup and Peanuts,"These delicious plantain pancakes are topped off with a spicy mix of chili, maple syrup and crushed peanuts to produce a delicious treat!",PUBLISHED,2024-09-25 00:03:22,2024-09-25 00:03:22,https://www.yummymedley.com/plantain-pancakes-with-spicy-maple-syrup-and-peanuts/,Not Available,2c2703b4-ed39-468d-a09b-4dda480e3bc7,Breakfast,West African,6.0,455.0,15,20,35,,,0,0,0,0,0,milk,2.5,,plant-based milk,cups,3,"In a separate bowl, combine the dry ingredients, the flour, cornmeal, baking powder, baking soda, and salt.2.5 cups all purpose flour, ½ cup corn meal, 2 tsp baking powder, ½ tsp baking soda, 1 Pinch of salt",2d9204cb-ae5c-49d5-85db-3b34f2de587c
a6213618-a4b0-4b70-a132-a0cf4763bd02,Plantain Pancakes with Spicy Maple Syrup and Peanuts,"These delicious plantain pancakes are topped off with a spicy mix of chili, maple syrup and crushed peanuts to produce a delicious treat!",PUBLISHED,2024-09-25 00:03:22,2024-09-25 00:03:22,https://www.yummymedley.com/plantain-pancakes-with-spicy-maple-syrup-and-peanuts/,Not Available,2c2703b4-ed39-468d-a09b-4dda480e3bc7,Breakfast,West African,6.0,455.0,15,20,35,,,0,0,0,0,0,milk,2.5,,plant-based milk,cups,4,Combine the wet and dry ingredients until it is just mixed. Try not to overmix the batter.,ca526fb9-c034-43d2-b11c-61eafbbb559b
